"";"Year";"Length";"Title";"Subject";"Actor";"Actress";"Director";"Popularity";"Awards"
"165";1969;103;"Cactus Flower";"Comedy";"Matthau, Walter";"Bergman, Ingrid";"Saks, Gene";67;"Yes"
"218";1975;112;"Alice Doesn't Live Here Anymore";"Comedy";"Kristofferson, Kris";"Burstyn, Ellen";"";82;"Yes"
"252";1987;103;"Moonstruck";"Comedy";"Cage, Nicholas";"Cher";"Jewison, Norman";6;"Yes"
"258";1975;109;"Shampoo";"Comedy";"Beatty, Warren";"Christie, Julie";"Ashby, Hal";69;"Yes"
"290";1988;108;"A Fish Called Wanda";"Comedy";"Cleese, John";"Curtis, Jamie Lee";"Crichton, Charles";7;"Yes"
"358";1976;116;"Network";"Comedy";"Finch, Peter";"Dunaway, Faye";"Lumet, Sidney";48;"Yes"
"385";1985;84;"Purple Rose of Cairo, The";"Comedy";"Aiello, Danny";"Farrow, Mia";"Allen, Woody";20;"Yes"
"388";1986;103;"Hannah & Her Sisters";"Comedy";"Caine, Michael";"Farrow, Mia";"Allen, Woody";8;"Yes"
"418";1965;97;"Cat Ballou";"Comedy";"Marvin, Lee";"Fonda, Jane";"Silverstein, Elliot";62;"Yes"
"453";1982;116;"Tootsie";"Comedy";"Hoffman, Dustin";"Garr, Teri";"Pollack, Sydney";8;"Yes"
"596";1973;103;"A Touch of Class";"Comedy";"Segal, George";"Jackson, Glenda";"Frank, Melvin";79;"Yes"
"614";1973;103;"Paper Moon";"Comedy";"O'Neal, Ryan";"Kahn, Madeline";"Bogdanovich, Peter";3;"Yes"
"624";1977;94;"Annie Hall";"Comedy";"Allen, Woody";"Keaton, Diane";"Allen, Woody";68;"Yes"
"625";1979;96;"Manhattan";"Comedy";"Allen, Woody";"Keaton, Diane";"Allen, Woody";82;"Yes"
"693";1978;109;"Get Out Your Handkerchiefs";"Comedy";"Depardieu, Gérard";"Laure, Carole";"Blier, Bertrand";78;"Yes"
"722";1963;118;"Yesterday, Today & Tomorrow";"Comedy";"Mastroianni, Marcello";"Loren, Sophia";"De Sica, Vittorio";73;"Yes"
"749";1979;129;"Being There";"Comedy";"Sellers, Peter";"MacLaine, Shirley";"Ashby, Hal";31;"Yes"
"777";1977;110;"Goodbye Girl, The";"Comedy";"Dreyfuss, Richard";"Mason, Marsha";"Ross, Herbert";6;"Yes"
"814";1975;103;"Sunshine Boys, The";"Comedy";"Burns, George";"Meredith, Lee";"Ross, Herbert";35;"Yes"
"828";1981;97;"Arthur";"Comedy";"Moore, Dudley";"Minnelli, Liza";"Gordon, Steve";79;"Yes"
"902";1955;116;"Mister Roberts";"Comedy";"Fonda, Henry";"Palmer, Betsy";"Ford, John";8;"Yes"
"999";1976;90;"Black & White in Color";"Comedy";"Carmet, Jean";"Rouvel, Catherine";"Annaud, Jean-Jacques";24;"Yes"
"1021";1966;127;"Russians Are Coming, the Russians Are, The";"Comedy";"Reiner, Carl";"Saint, Eva Marie";"Jewison, Norman";79;"Yes"
"1050";1972;100;"Le Charme Discret de la Bourgeoisie";"Comedy";"Rey, Fernando";"Seyrig, Delphine";"Bunuel, Luis";4;"Yes"
"1064";1955;150;"Guys & Dolls";"Comedy";"Brando, Marlon";"Simmons, Jean";"Mankiewicz, Joseph L.";70;"Yes"
"1074";1978;103;"California Suite";"Comedy";"Caine, Michael";"Smith, Maggie";"Ross, Herbert";11;"Yes"
"1156";1988;85;"Doin' Time on Planet Earth";"Comedy";"Strouse, Nocholas";"Thompson, Andrea";"Matthau, Charles";44;"Yes"
"1175";1985;130;"Prizzi's Honor";"Comedy";"Nicholson, Jack";"Turner, Kathleen";"Huston, John";25;"Yes"
"1180";1988;121;"Accidental Tourist, The";"Comedy";"Hurt, William";"Turner, Kathleen";"";56;"Yes"
"1229";1966;126;"Fortune Cookie, The";"Comedy";"Lemmon, Jack";"West, Judi";"Wilder, Billy";3;"Yes"
"1238";1973;112;"American Graffiti";"Comedy";"Dreyfuss, Richard";"Williams, Cindy";"Lucas, George";39;"Yes"
